issf_core_id,attribute__attribute_label,value,attribute_value__value_label,country,region
3566,Main gear type(s):,,Hooks and lines,Cameroon,Africa
2572,Main gear type(s):,,Hooks and lines,Spain,Europe
2535,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
3644,Main gear type(s):,,Hooks and lines,Nigeria,Africa
2414,Main gear type(s):,,Hooks and lines,Senegal,Africa
2324,Main gear type(s):,,Hooks and lines,Bahamas,Latin America and the Caribbean
3597,Main gear type(s):,,Hooks and lines,Liberia,Africa
3635,Main gear type(s):,,Hooks and lines,Nigeria,Africa
3320,Main gear type(s):,,Hooks and lines,Lao PDR,Asia and Oceania
2495,Main gear type(s):,,Hooks and lines,Belgium,Europe
2408,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
2400,Main gear type(s):,,Hooks and lines,Oman,Asia and Oceania
2539,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
3497,Main gear type(s):,,Hooks and lines,Indonesia,Asia and Oceania
3201,Main gear type(s):,,Hooks and lines,Cambodia,Asia and Oceania
3185,Main gear type(s):,,Hooks and lines,Spain,Europe
2479,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
2134,Main gear type(s):,,Hooks and lines,Brazil,Latin America and the Caribbean
3667,Main gear type(s):,,Hooks and lines,Philippines,Asia and Oceania
3230,Main gear type(s):,,Hooks and lines,Bangladesh,Asia and Oceania
3564,Main gear type(s):,,Hooks and lines,Nigeria,Africa
3686,Main gear type(s):,,Hooks and lines,Canada,North America and Canada
3565,Main gear type(s):,,Hooks and lines,Nigeria,Africa
2536,Main gear type(s):,,Hooks and lines,Bangladesh,Asia and Oceania
2136,Main gear type(s):,,Hooks and lines,Spain,Europe
2676,Main gear type(s):,,Hooks and lines,United States of America,North America and Canada
3590,Main gear type(s):,,Hooks and lines,Mauritania,Africa
3204,Main gear type(s):,,Hooks and lines,Greece,Europe
2995,Main gear type(s):,,Hooks and lines,Turkey,Europe
2434,Main gear type(s):,,Hooks and lines,Mexico,Latin America and the Caribbean
